LEFT_HAND,RIGHT_HAND,THUMB_CMC_DISTANCE_FROM_WRIST,THUMB_MCP_DISTANCE_FROM_WRIST,THUMB_IP_DISTANCE_FROM_WRIST,THUMB_TIP_DISTANCE_FROM_WRIST,INDEX_FINGER_MCP_DISTANCE_FROM_WRIST,INDEX_FINGER_PIP_DISTANCE_FROM_WRIST,INDEX_FINGER_DIP_DISTANCE_FROM_WRIST,INDEX_FINGER_TIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_MCP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_PIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_DIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_TIP_DISTANCE_FROM_WRIST,RING_FINGER_MCP_DISTANCE_FROM_WRIST,RING_FINGER_PIP_DISTANCE_FROM_WRIST,RING_FINGER_DIP_DISTANCE_FROM_WRIST,RING_FINGER_TIP_DISTANCE_FROM_WRIST,PINKY_MCP_DISTANCE_FROM_WRIST,PINKY_PIP_DISTANCE_FROM_WRIST,PINKY_DIP_DISTANCE_FROM_WRIST,PINKY_TIP_DISTANCE_FROM_WRIST,THUMB_CMC_ANGLE_FROM_WRIST,THUMB_MCP_ANGLE_FROM_WRIST,THUMB_IP_ANGLE_FROM_WRIST,THUMB_TIP_ANGLE_FROM_WRIST,INDEX_FINGER_MCP_ANGLE_FROM_WRIST,INDEX_FINGER_PIP_ANGLE_FROM_WRIST,INDEX_FINGER_DIP_ANGLE_FROM_WRIST,INDEX_FINGER_TIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_MCP_ANGLE_FROM_WRIST,MIDDLE_FINGER_PIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_DIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_TIP_ANGLE_FROM_WRIST,RING_FINGER_MCP_ANGLE_FROM_WRIST,RING_FINGER_PIP_ANGLE_FROM_WRIST,RING_FINGER_DIP_ANGLE_FROM_WRIST,RING_FINGER_TIP_ANGLE_FROM_WRIST,PINKY_MCP_ANGLE_FROM_WRIST,PINKY_PIP_ANGLE_FROM_WRIST,PINKY_DIP_ANGLE_FROM_WRIST,PINKY_TIP_ANGLE_FROM_WRIST,label
0,1,0.041785438,0.104365095,0.15647173,0.1964057,0.17344998,0.23843643,0.19208191,0.15433213,0.17757978,0.2450021,0.18545744,0.15154222,0.1766106,0.23513624,0.18157515,0.14965892,0.17185809,0.21502997,0.17959477,0.1543974,0.3894929,0.445245,0.4790368,0.49567756,0.47719663,0.48957014,0.48699656,0.48133612,0.0,0.5052286,0.5025282,0.4976303,0.52069724,0.5211453,0.51826817,0.5157571,0.5426941,0.5360046,0.5335244,0.5325476,closed
0,1,0.045949854,0.11003994,0.16828337,0.20960604,0.17273866,0.23390988,0.19390567,0.15853667,0.17729427,0.24022605,0.18642724,0.15190843,0.17516445,0.23381424,0.18505993,0.15108053,0.16813202,0.21030012,0.18033756,0.154841,0.3941786,0.44902915,0.48143578,0.49702138,0.47802636,0.48857546,0.4844789,0.47808573,0.0,0.5050308,0.5009548,0.4958535,0.51979876,0.51990217,0.51603466,0.5135242,0.54107773,0.53469396,0.5314582,0.53071094,closed
0,1,0.054939102,0.1167358,0.17570603,0.22612558,0.192469,0.25952086,0.21578439,0.17361215,0.1977588,0.26687866,0.21166445,0.17045271,0.19667192,0.2587797,0.20880483,0.16887812,0.19105071,0.2393103,0.20496626,0.17347655,0.42043784,0.45070943,0.47256616,0.4854365,0.48081267,0.48837337,0.48517504,0.48071584,0.0,0.50338227,0.5010095,0.49791545,0.51784384,0.5170156,0.514209,0.5135592,0.5367625,0.530205,0.52753544,0.52795887,closed
0,1,0.044399057,0.105424985,0.16106959,0.2103276,0.17949963,0.23177324,0.17804927,0.14533128,0.17958413,0.23426045,0.1684227,0.1397212,0.17462096,0.22137307,0.16250676,0.13522387,0.16645534,0.20236915,0.16327314,0.14043355,0.39966267,0.44676623,0.4752443,0.48818204,0.47775152,0.48779637,0.481172,0.4737752,0.0,0.50454634,0.49920562,0.4952196,0.5208225,0.5213435,0.5171085,0.5144715,0.5429387,0.53693116,0.5344334,0.5336997,closed
0,1,0.04086973,0.10360505,0.15903613,0.2033783,0.17338452,0.23127174,0.17600074,0.14131124,0.17228626,0.23005521,0.16291784,0.13360539,0.16715531,0.22017337,0.15812571,0.1292207,0.15878743,0.19891913,0.1569229,0.13252528,0.38167936,0.43990982,0.4769954,0.49165237,0.47694147,0.48678538,0.480068,0.4728116,0.0,0.50422114,0.4975962,0.49232692,0.52119887,0.5210064,0.5164522,0.5135454,0.54444563,0.5365124,0.5343054,0.5340384,closed
0,1,0.040509347,0.102518946,0.1533815,0.19122373,0.17495109,0.23052253,0.17375436,0.14026612,0.17389508,0.22999285,0.1637018,0.13618611,0.16880925,0.22128546,0.16034333,0.13304514,0.15991302,0.19872753,0.15859419,0.13580257,0.38421616,0.44196272,0.4803883,0.49754193,0.47627044,0.48777232,0.48151302,0.47329864,0.0,0.5049915,0.49950013,0.49290004,0.5212928,0.5217229,0.51840687,0.5143824,0.54410124,0.53774023,0.5361913,0.53444326,closed
0,1,0.039403666,0.10249787,0.15628505,0.19922702,0.17347488,0.22968452,0.17509921,0.14154509,0.17310654,0.23041734,0.16558842,0.13761933,0.16837049,0.22174269,0.16279143,0.13482039,0.16000086,0.19822961,0.16031809,0.13848516,0.38393605,0.44498667,0.48198038,0.49803215,0.47642943,0.48671556,0.4801994,0.47294754,0.0,0.50452065,0.49895054,0.4935511,0.5213666,0.5212807,0.51755625,0.5146706,0.54394984,0.5367688,0.5346501,0.5335796,closed
0,1,0.03954676,0.10571894,0.16249254,0.20766191,0.17401022,0.22942942,0.17323749,0.13950038,0.17380154,0.22750574,0.15981483,0.13350305,0.16938008,0.2170952,0.15411952,0.12911463,0.16234955,0.1979229,0.1547947,0.13360034,0.38868695,0.44591424,0.48096868,0.49619544,0.47685343,0.48736808,0.48035672,0.47340164,0.0,0.50503397,0.49799514,0.49290884,0.5211741,0.5211477,0.51649797,0.5138882,0.54426,0.5363244,0.5351427,0.53555447,closed
0,1,0.045514826,0.10905274,0.16312508,0.20543808,0.167223,0.2248695,0.17656188,0.14007321,0.16836096,0.22715187,0.1662471,0.13266404,0.16540672,0.2174872,0.16423076,0.132549,0.15998231,0.20090277,0.16583936,0.14072779,0.40311524,0.44784376,0.48245913,0.49859527,0.4772808,0.48624137,0.47984096,0.47277904,0.0,0.50358796,0.4973964,0.49267894,0.5206276,0.5192645,0.5142772,0.5128433,0.54329205,0.5339468,0.53073686,0.5317684,closed
0,1,0.08069097,0.16695593,0.23478049,0.27445143,0.24682657,0.33925968,0.29277012,0.24761306,0.24683802,0.34006485,0.286097,0.23885295,0.23873645,0.321207,0.27123237,0.22709756,0.22407335,0.28841504,0.2583359,0.22584231,0.45823464,0.47274506,0.47963804,0.4843732,0.49103683,0.49310076,0.48988834,0.4873356,0.0,0.49880633,0.49543676,0.49373084,0.50749326,0.5022775,0.49896687,0.49881914,0.51541173,0.5086927,0.5045208,0.50241625,closed
